playername,season,team,league,gp_regular,g_regular,a_regular,tp_regular,pim_regular,+/-_regular,post,gp_post,g_post,a_post,tp_post,pim_post,+/-_post
Jaromír Jágr,84-85,Rytiri Kladno U18,Czechoslovakia U18,34,24,17,41,-,-,,,,,,,
Jaromír Jágr,85-86,Rytiri Kladno U18,Czechoslovakia U18,36,41,29,70,-,-,,,,,,,
Jaromír Jágr,86-87,Rytiri Kladno U20,Czechoslovakia U20,30,35,35,70,-,-,,,,,,,
Jaromír Jágr,87-88,Rytiri Kladno U20,Czechoslovakia U20,35,57,27,84,-,-,,,,,,,
Jaromír Jágr,88-89,TJ Kladno,Czechoslovakia,29,3,3,6,4,5,Relegation,10,5,7,12,0,4
Jaromír Jágr,,Czechoslovakia U18,EJC-18,5,8,4,12,2,-,,,,,,,
Jaromír Jágr,89-90,TJ Kladno,Czechoslovakia,42,22,28,50,14,9,Playoffs,9,8,2,10,4,4
Jaromír Jágr,,Czechoslovakia U20,WJC-20,7,5,13,18,6,-,,,,,,,
Jaromír Jágr,,Czechoslovakia,WC,10,3,2,5,2,-,,,,,,,
Jaromír Jágr,,Czechoslovakia (all),International,16,4,-,-,-,-,,,,,,,
Jaromír Jágr,,Czechoslovakia (all),International,16,4,-,-,-,-,,,,,,,
Jaromír Jágr,90-91,Pittsburgh Penguins,NHL,80,27,30,57,42,-4,Playoffs,24,3,10,13,6,2
Jaromír Jágr,91-92,Pittsburgh Penguins,NHL,70,32,37,69,34,13,Playoffs,21,11,13,24,6,4
Jaromír Jágr,,Czechoslovakia,CC,5,1,0,1,0,-3,,,,,,,
Jaromír Jágr,,Czechoslovakia (all),International,7,2,-,-,-,-,,,,,,,
Jaromír Jágr,,Czechoslovakia (all),International,7,2,-,-,-,-,,,,,,,
Jaromír Jágr,92-93,Pittsburgh Penguins,NHL,81,34,60,94,61,30,Playoffs,12,5,4,9,23,3
Jaromír Jágr,93-94,Pittsburgh Penguins,NHL,80,32,67,99,61,15,Playoffs,6,2,4,6,16,-3
Jaromír Jágr,,Czechia,WC,3,0,2,2,2,-1,,,,,,,
Jaromír Jágr,,Czechia,WC,3,0,2,2,2,-1,,,,,,,
Jaromír Jágr,,Czechia (all),International,3,0,2,2,2,-,,,,,,,
Jaromír Jágr,,Czechia (all),International,3,0,2,2,2,-,,,,,,,
Jaromír Jágr,,Czechia (all),International,3,0,2,2,2,-,,,,,,,
